pair,0,1,2,3,4,5,6,7,8,9,10,11,12
MORPHO/USDC,1742256000000,1.301,1.325,1.27,1.3,10623.330422,1742342399999,8179.771,2050,8179.771,10623.330422,False,1.2995
NSTR/USDC,1742256000000,0.102,0.102,0.102,0.102,0,1742342399999,0,0,0,0,False,0
COMP/USDC,1742256000000,43.31,43.89,42.19,42.86,40713.807269,1742342399999,947.8654,8565,947.8654,40713.807269,False,43.078
IMX/USDC,1742256000000,0.68,0.68,0.68,0.68,0,1742342399999,0,0,0,0,False,0
USDM/USDC,1742256000000,0.9999,0.9999,0.9999,0.9999,39996,1742342399999,40000,3,40000,39996,False,0.9999
USDM/USDT,1742256000000,0.01078,0.01078,0.01078,0.01078,0,1742342399999,0,0,0,0,False,0
USDM/ETH,1742256000000,1927.6,1931.1,1874.1,1888.7,123548.994338,1742342399999,64.938778,8789,64.938778,123548.994338,False,1927.6
L3/USDC,1742256000000,0.1007,0.1007,0.1007,0.1007,0,1742342399999,0,0,0,0,False,0
GMT/USDC,1742256000000,0.0675,0.0675,0.0675,0.0675,0,1742342399999,0,0,0,0,False,0
OCEAN/USDC,1742256000000,0.9123,0.9123,0.9123,0.9123,0,1742342399999,0,0,0,0,False,0
SHIB/USDC,1742256000000,0.00001297,0.00001297,0.00001234,0.0000124,14382.72026,1742342399999,1139459200,2766,1139459200,14382.72026,False,0.000012882
LQTY/USDC,1742256000000,0.899,0.899,0.899,0.899,0,1742342399999,0,0,0,0,False,0
Olda/USDT,1742256000000,0.012,0.012,0.012,0.012,0,1742342399999,0,0,0,0,False,0
MEME/USDC,1742256000000,0.00405,0.00405,0.00405,0.00405,0,1742342399999,0,0,0,0,False,0
PORTAL/USDC,1742256000000,0.1374,0.1374,0.1374,0.1374,0,1742342399999,0,0,0,0,False,0
ZK/USDC,1742256000000,2.077,2.077,2.077,2.077,0,1742342399999,0,0,0,0,False,0
T/USDC,1742256000000,0.02147,0.02147,0.02147,0.02147,0,1742342399999,0,0,0,0,False,0
BRETT/USDC,1742256000000,0.0426,0.0426,0.0426,0.0426,0,1742342399999,0,0,0,0,False,0
ATH/USDC,1742256000000,0.03602,0.03602,0.03602,0.03602,0,1742342399999,0,0,0,0,False,0
PEPE/USDC,1742256000000,0.0000074,0.00000742,0.00000677,0.0000068,24640.37123,1742342399999,3483408000,4687,3483408000,24640.37123,False,0.000007034
ILV/USDC,1742256000000,20.37,20.37,20.37,20.37,0,1742342399999,0,0,0,0,False,0
